Participant_id	Melody	Singing voice	Rhythm	Lyrics	Mood	Tempo	Harmony	Sentiment	Instruments	Danceability
1	5	2	3	5	5	3	2	4	1	1
2	4	5	4	2	3	4	5	1	2	1
3	4	1	4	1	5	1	1	1	2	1
4	5	4	4	3	3	5	1	2	1	1
5	3	4	3	3	2	3	2	1	3	3
6	5	5	4	1	4	5	1	1	3	2
7	4	4	4	2	4	4	4	5	3	1
8	5	3	4	4	5	4	4	3	2	2
9	1	1	1	1	1	4	1	1	1	1
10	3	4	4	5	4	4	4	3	1	1
11	4	3	4	3	1	3	2	2	2	2
12	1	4	4	2	3	2	1	1	3	1
13	5	5	4	5	4	2	1	5	5	1
14	3	4	4	4	4	3	3	3	3	1
15	5	5	5	5	1	3	1	1	1	1
16	3	2	3	3	3	4	1	3	1	1
17	3	4	3	3	4	3	3	3	4	2
18	3	4	4	5	3	4	3	2	3	1
19	5	5	5	2	4	5	2	4	1	1
20	3	3	3	3	3	2	3	4	2	2
21	3	3	3	3	3	3	3	3	3	3
22	3	4	4	3	4	3	3	3	4	3
23	3	3	3	2	3	4	2	3	2	1
24	2	2	2	2	2	2	2	2	2	2
25	4	4	4	4	4	4	4	4	4	3
26	5	5	4	3	3	4	3	3	3	2
27	4	5	3	4	4	3	2	3	2	2
28	2	1	2	1	1	2	1	1	2	1
29	4	4	5	5	4	1	3	1	1	1
30	4	3	5	3	3	5	5	3	3	3
31	5	5	4	3	5	4	4	3	4	3
32	5	1	4	5	1	4	2	1	3	4
33	5	5	5	5	2	2	2	4	2	1
34	4	3	3	3	3	1	1	3	3	1
35	4	5	2	5	4	3	1	4	1	1
36	4	5	3	4	4	3	3	3	3	1
37	4	5	5	5	3	3	3	3	4	2
38	4	4	4	4	3	4	3	1	3	1
39	5	5	5	5	5	5	2	4	5	1
40	4	5	4	5	4	4	4	4	4	1
41	5	3	1	2	5	4	1	3	2	1
42	5	2	2	4	2	1	2	3	1	1
43	2	5	2	3	3	3	1	1	2	1
44	5	5	1	3	1	1	1	1	1	2
45	3	5	5	2	3	5	5	2	5	3
46	3	4	4	2	4	5	4	2	2	2
47	5	5	5	5	5	5	5	5	5	5
48	3	3	3	3	3	3	3	3	3	3
49	5	5	4	5	5	4	4	4	4	1
50	5	4	5	1	2	2	5	2	4	1
51	5	4	5	2	3	5	1	1	1	3
52	5	5	5	1	1	5	1	1	5	1
53	5	5	5	3	3	4	3	5	4	3
54	5	5	4	5	4	3	4	4	3	1
55	5	5	5	5	5	5	5	5	5	1
56	5	5	1	1	3	1	1	2	2	1
57	5	5	3	5	1	3	1	3	4	3
58	5	4	2	2	4	1	5	1	1	1
59	3	2	3	2	3	3	1	3	1	1
60	1	5	5	1	5	5	1	5	5	1
61	3	2	2	5	3	2	2	1	2	1
62	4	4	4	3	3	4	3	3	2	2
63	3	4	3	4	4	3	3	4	3	2
64	3	4	5	3	1	4	2	1	3	1
65	4	5	4	3	3	3	3	1	3	2
66	5	4	3	5	4	4	2	1	3	2
67	5	5	5	4	4	5	4	3	3	1
68	4	5	3	3	3	3	1	2	2	1
69	3	3	3	3	3	3	3	3	3	3
70	1	3	1	3	3	1	1	1	3	1
71	5	5	5	2	4	5	2	4	3	1
72	3	4	4	2	3	4	2	3	4	1
73	2	2	2	2	2	2	5	2	2	1
74	5	5	4	4	3	4	5	5	3	3
75	2	3	1	4	2	2	1	2	1	1
76	5	3	3	4	3	3	3	3	3	1
77	3	1	3	3	3	3	1	1	2	1
78	3	3	3	3	4	3	3	1	4	4
79	5	5	5	4	4	5	3	4	4	4
80	4	4	2	3	2	2	3	2	2	1
81	5	5	5	5	5	4	5	4	3	1
82	3	3	3	5	1	1	3	3	4	1
83	2	1	2	1	1	1	2	2	1	1
84	5	4	4	3	4	5	4	5	3	4
85	4	5	4	5	4	4	3	2	4	2
86	4	5	5	2	5	3	5	2	5	4
