Participant_id	Openness	Conscientiousness	Extraversion	Agreeableness	Neuroticism
1	3.5	3.14	5.8	4.5	4.6
2	6.0	3.57	4.2	5.33	3.2
3	3.5	4.14	3.8	5.0	4.8
4	5.83	3.86	3.6	4.17	2.8
5	4.83	4.71	3.8	5.67	2.8
6	2.67	5.0	3.0	4.17	3.8
7	4.33	4.71	4.0	4.17	4.8
8	5.17	4.0	3.8	5.17	2.8
9	5.0	3.43	4.2	4.17	6.0
10	3.83	5.71	6.0	3.83	2.4
11	3.33	4.43	2.8	4.67	4.4
12	6.0	3.86	4.0	4.67	4.0
13	5.0	6.14	4.4	6.17	4.6
14	3.83	3.86	3.4	4.5	4.0
15	3.33	4.14	3.8	3.67	3.4
16	2.5	3.29	1.2	4.5	5.6
17	5.0	4.71	6.4	4.67	2.8
18	4.83	4.43	1.0	3.83	6.8
19	3.67	6.86	6.4	5.17	4.4
20	3.5	5.0	2.4	3.67	6.0
21	6.0	2.71	4.6	4.0	6.4
22	2.0	4.86	5.0	6.33	4.0
23	3.83	3.14	4.8	4.17	5.4
24	3.5	4.0	3.6	3.5	4.0
25	5.0	3.14	4.8	4.67	4.0
26	3.83	5.0	2.8	4.17	5.2
27	3.17	3.43	5.0	4.0	5.0
28	4.0	4.0	4.2	4.17	4.6
29	6.67	5.86	5.6	6.5	1.8
30	5.17	4.71	6.6	5.5	3.4
31	4.5	4.0	4.4	5.83	4.4
32	3.17	6.86	2.2	4.67	5.8
33	3.83	5.71	4.4	4.5	5.4
34	3.33	3.43	1.0	2.83	6.4
35	5.83	6.57	5.8	5.83	5.4
36	5.5	3.86	3.8	4.0	3.8
37	4.67	4.14	4.4	4.33	4.4
38	4.5	4.57	5.8	4.5	3.2
39	5.17	4.86	6.6	4.67	2.6
40	3.0	5.71	3.6	5.67	6.4
41	4.17	5.43	2.2	5.17	6.4
42	5.5	5.57	5.0	5.0	4.2
43	5.5	7.0	3.6	3.17	4.0
44	4.67	6.14	5.8	4.17	4.4
45	4.0	4.71	4.6	4.17	5.4
46	2.67	3.29	5.8	4.67	2.8
47	6.67	6.0	6.6	6.83	1.0
48	5.17	5.71	5.2	5.17	2.0
49	2.33	3.14	1.4	4.67	5.8
50	5.17	5.29	4.4	6.0	3.2
51	6.0	7.0	6.6	5.0	5.8
52	3.83	4.14	2.8	3.83	5.6
53	5.5	2.86	4.6	4.67	3.0
54	4.67	3.0	5.4	3.67	3.6
55	4.83	4.0	3.0	4.5	6.2
56	4.0	3.43	2.2	5.83	4.2
57	5.0	5.0	5.2	4.67	4.0
58	4.83	3.29	3.8	4.67	1.8
59	3.67	3.86	1.4	3.5	6.2
60	3.0	5.43	5.6	5.0	2.2
61	5.17	3.71	4.4	3.67	4.8
62	5.67	4.71	5.4	4.83	3.2
63	4.83	4.57	5.2	5.5	2.4
64	4.67	5.29	5.2	4.5	2.8
65	3.83	3.43	5.6	5.17	4.4
66	3.83	5.29	3.6	5.0	5.0
67	5.67	6.57	6.0	5.5	2.0
68	2.67	3.0	3.4	5.5	4.0
69	4.5	5.0	4.8	4.17	4.8
70	4.0	4.29	3.8	5.5	5.0
71	3.0	4.57	1.4	5.17	7.0
72	2.67	3.43	2.2	3.17	6.4
73	4.0	4.29	5.0	4.83	4.6
74	4.83	5.14	5.2	4.5	3.8
75	3.67	5.0	2.6	4.5	5.8
76	3.83	4.57	3.4	4.83	3.8
77	5.0	4.29	3.8	2.83	2.8
78	3.83	4.57	5.0	4.33	5.0
79	3.83	4.86	4.6	3.67	4.6
80	4.83	4.29	4.8	5.17	3.4
81	6.0	6.57	7.0	6.5	2.4
82	4.67	4.57	6.2	3.5	6.0
83	4.17	3.71	4.6	4.33	4.2
84	4.83	4.57	5.0	5.17	3.6
85	3.17	3.14	2.6	4.33	6.0
86	6.83	5.14	3.4	6.83	2.0
87	4.33	4.14	4.2	3.67	4.6
88	3.33	5.29	5.8	6.0	4.8
89	4.33	3.57	4.0	4.17	4.4
90	7.0	7.0	7.0	7.0	4.2
91	5.17	4.57	6.4	3.5	4.6
92	4.17	4.71	2.4	5.83	4.0
93	5.5	5.71	5.4	3.67	5.6
94	4.17	4.57	2.0	4.67	6.4
95	3.83	2.57	6.0	1.83	4.8
96	3.0	2.14	4.0	2.83	5.2
97	1.67	3.14	2.2	3.17	7.0
98	4.67	5.43	4.8	6.17	2.6
99	2.0	3.71	1.4	3.17	6.0
100	4.17	3.71	4.8	4.5	5.4
101	2.33	3.71	3.4	2.67	6.8
102	3.33	4.43	2.0	2.83	7.0
103	3.67	4.86	2.8	4.0	6.0
104	4.67	4.29	5.6	5.17	5.4
105	3.17	2.57	2.4	5.0	6.0
106	4.5	3.43	5.4	2.0	5.2
107	3.5	4.43	2.2	4.67	5.8
108	3.5	3.71	3.4	3.33	5.2
109	4.33	5.14	3.2	3.83	3.4
110	3.83	4.0	2.2	4.83	6.4
111	5.67	3.57	3.2	4.33	5.6
112	1.0	1.86	2.2	3.83	2.4
113	4.67	5.14	5.0	5.17	2.6
114	3.5	3.29	6.6	3.17	4.6
115	3.0	3.29	1.8	5.17	6.8
116	4.17	4.57	5.2	4.0	2.0
117	3.83	4.0	4.4	3.5	4.0
118	4.0	4.0	3.0	3.17	4.0
119	2.5	4.57	3.6	3.0	5.0
120	5.0	4.57	4.4	5.67	4.4
121	4.5	4.43	5.0	3.33	6.2
122	5.67	6.71	5.2	6.5	4.8
123	3.67	4.0	5.4	5.5	3.4
124	3.5	4.43	3.4	3.83	5.0
125	4.0	3.57	4.4	3.17	6.0
126	3.83	4.71	4.4	4.33	4.8
127	5.67	3.86	4.4	4.83	4.6
128	3.33	2.86	4.2	3.67	6.8
129	6.33	3.86	7.0	4.67	5.6
130	5.17	4.43	3.6	4.0	5.0
131	3.17	4.29	4.4	4.33	6.0
132	4.0	4.0	5.0	6.17	4.2
133	4.0	5.14	5.8	4.83	4.0
134	3.5	3.86	4.8	4.0	5.0
135	4.83	5.29	6.2	4.83	5.4
136	3.33	4.14	5.2	3.67	5.6
